                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.086,                0.66409,                 1.8249,                0.73211,                0.66543,                0.71612,                0.53206,                 1.0107,                0.56147,                 1.9562,              0.0078963,              0.0078963,              0.0078963
                     36,                  1.086,                0.66178,                 1.8316,                0.73279,                  0.667,                0.72035,                0.53592,                 1.0147,                0.56103,                 1.9579,              0.0078344,              0.0078344,              0.0078344
                     37,                 1.0841,                0.66277,                   1.83,                0.73371,                0.66655,                 0.7198,                0.53488,                 1.0167,                0.56181,                 1.9573,              0.0077725,              0.0077725,              0.0077725
                     38,                 1.0786,                0.65876,                 1.8308,                0.73745,                0.66673,                 0.7208,                0.53482,                 1.0129,                0.55898,                 1.9574,              0.0077106,              0.0077106,              0.0077106
                     39,                 1.0811,                0.66113,                 1.8278,                 0.7365,                 0.6671,                 0.7212,                0.53567,                 1.0114,                0.55815,                 1.9562,              0.0076488,              0.0076488,              0.0076488
                     40,                 1.0784,                 0.6582,                 1.8261,                0.73801,                 0.6676,                0.72241,                0.53727,                 1.0114,                0.55797,                 1.9564,              0.0075869,              0.0075869,              0.0075869
                     41,                  1.079,                0.65604,                 1.8286,                0.74054,                0.66743,                0.72464,                0.53993,                 1.0108,                0.55716,                 1.9538,               0.007525,               0.007525,               0.007525
                     42,                  1.072,                0.65622,                 1.8225,                0.74649,                0.66886,                0.72716,                0.54216,                 1.0082,                0.55548,                   1.95,              0.0074631,              0.0074631,              0.0074631
                     43,                 1.0734,                0.65081,                 1.8203,                 0.7502,                0.66814,                0.72711,                0.54207,                 1.0098,                0.55459,                 1.9509,              0.0074013,              0.0074013,              0.0074013
                     44,                 1.0671,                0.64931,                 1.8138,                0.74842,                0.66925,                0.72737,                0.54261,                 1.0091,                0.55416,                  1.949,              0.0073394,              0.0073394,              0.0073394
                     45,                 1.0672,                0.64827,                 1.8179,                0.74782,                0.67156,                0.72871,                0.54386,                 1.0091,                0.55292,                 1.9478,              0.0072775,              0.0072775,              0.0072775
                     46,                 1.0658,                0.64615,                 1.8172,                0.74828,                0.67108,                0.72904,                0.54444,                 1.0067,                0.55166,                  1.948,              0.0072156,              0.0072156,              0.0072156
                     47,                 1.0641,                0.64603,                 1.8103,                0.74936,                0.67198,                0.72968,                0.54551,                 1.0056,                0.55102,                 1.9455,              0.0071538,              0.0071538,              0.0071538
                     48,                 1.0609,                0.64585,                 1.8098,                0.74373,                0.67567,                0.73025,                0.54607,                 1.0044,                0.54999,                 1.9457,              0.0070919,              0.0070919,              0.0070919
                     49,                 1.0602,                0.64387,                 1.8176,                0.74749,                0.67292,                0.73088,                0.54666,                 1.0039,                0.54944,                 1.9448,                0.00703,                0.00703,                0.00703
                     50,                 1.0612,                0.64433,                 1.8114,                0.74704,                0.67346,                0.73054,                0.54641,                 1.0032,                0.54891,                 1.9433,              0.0069681,              0.0069681,              0.0069681
                     51,                 1.0597,                0.64676,                 1.8006,                0.74749,                0.67365,                0.73102,                0.54737,                 1.0011,                0.54813,                 1.9416,              0.0069063,              0.0069063,              0.0069063
                     52,                 1.0596,                0.65164,                 1.7911,                0.74869,                0.67268,                0.73113,                0.54738,                 1.0009,                0.54776,                 1.9415,              0.0068444,              0.0068444,              0.0068444
