metric,value
metrics/precision(B),0.7628360953658169
metrics/recall(B),0.7005416074789248
metrics/mAP50(B),0.7456324476223894
metrics/mAP50-95(B),0.6035307327459367
fitness,0.6177409042335821

class,precision,recall,ap50,ap
car,0.946353628026063,0.8742104706784006,0.929659858381106,0.7717276005130773
truck,0.7666588666088513,0.6470993794937457,0.7317449602636144,0.568847176261781
bus,0.9321747713587263,0.8630078706658157,0.9198466931195286,0.7548420727400303
van,0.6226680272344876,0.5213086526043909,0.5905146923338231,0.48250892623215585
freight_car,0.5463251836009559,0.5970816639522712,0.5563960340138754,0.43972788798263907
