metric,value
metrics/precision(B),0.7809651847471357
metrics/recall(B),0.6953850670035335
metrics/mAP50(B),0.744471135588156
metrics/mAP50-95(B),0.6023730431643074
fitness,0.6165828524066923

class,precision,recall,ap50,ap
car,0.9577609888743478,0.8669563699993097,0.9287824274313768,0.7722867363610537
truck,0.7713775513103098,0.6440320958697126,0.7115617914969832,0.5555665130806234
bus,0.9310767801859734,0.8678339488463015,0.9197279446402156,0.7474823374009353
van,0.6327369188902986,0.530779164873009,0.5917349807044858,0.4847914603861604
freight_car,0.6118736844747488,0.5673237554293351,0.5705485336677191,0.4517381685927644
