                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.91676,                0.66986,                 1.9316,                0.65705,                 0.6052,                0.61889,                0.46978,                0.79422,                0.57115,                 1.8032,               0.006436,               0.006436,               0.006436
                     38,                0.91326,                0.66541,                 1.9189,                0.65555,                0.60694,                0.62103,                0.47198,                0.79317,                0.56963,                 1.7996,               0.006337,               0.006337,               0.006337
                     39,                0.91111,                0.66585,                 1.9203,                0.65059,                0.60708,                0.61927,                0.47057,                0.79206,                0.56748,                 1.7954,               0.006238,               0.006238,               0.006238
                     40,                0.90796,                0.65822,                 1.9068,                0.65097,                0.60617,                0.62145,                0.47311,                 0.7907,                0.56683,                 1.7931,               0.006139,               0.006139,               0.006139
                     41,                0.90897,                0.65886,                 1.9118,                0.65078,                0.60623,                0.62213,                0.47429,                0.79029,                0.56541,                 1.7907,                0.00604,                0.00604,                0.00604
                     42,                0.90511,                0.66054,                 1.8918,                0.65431,                0.61294,                0.62443,                0.47579,                0.78945,                0.56459,                 1.7881,               0.005941,               0.005941,               0.005941
                     43,                0.90571,                0.65724,                  1.892,                0.66009,                 0.6084,                0.62365,                0.47725,                0.78887,                 0.5633,                 1.7866,               0.005842,               0.005842,               0.005842
                     44,                0.90199,                0.65238,                 1.8936,                0.65596,                0.61063,                0.62635,                0.47899,                0.78781,                 0.5623,                 1.7848,               0.005743,               0.005743,               0.005743
                     45,                0.90296,                0.65595,                 1.8872,                0.65575,                0.61143,                 0.6269,                0.47974,                0.78668,                 0.5612,                 1.7831,               0.005644,               0.005644,               0.005644
                     46,                0.89559,                0.64645,                 1.8821,                0.64982,                 0.6162,                0.62722,                0.47979,                0.78607,                0.56049,                 1.7812,               0.005545,               0.005545,               0.005545
                     47,                0.89793,                0.64919,                 1.8778,                0.65128,                0.61702,                0.62772,                0.48045,                0.78536,                0.55935,                 1.7793,               0.005446,               0.005446,               0.005446
                     48,                0.89274,                0.64489,                 1.8674,                0.65258,                0.61906,                0.62745,                0.48036,                0.78487,                0.55872,                 1.7776,               0.005347,               0.005347,               0.005347
                     49,                0.89036,                0.64207,                 1.8691,                0.65613,                  0.618,                0.62806,                0.48116,                 0.7838,                0.55779,                 1.7762,               0.005248,               0.005248,               0.005248
                     50,                0.88873,                0.64175,                  1.873,                0.65806,                 0.6184,                0.62941,                 0.4822,                0.78315,                0.55712,                  1.775,               0.005149,               0.005149,               0.005149
                     51,                0.88546,                0.63621,                 1.8613,                0.65447,                0.62192,                0.63092,                0.48346,                0.78257,                0.55647,                 1.7738,                0.00505,                0.00505,                0.00505
                     52,                0.88394,                0.63704,                 1.8653,                0.65429,                0.62454,                0.63158,                0.48423,                0.78192,                0.55576,                 1.7727,               0.004951,               0.004951,               0.004951
                     53,                0.88088,                0.63048,                 1.8581,                0.65294,                0.62419,                0.63203,                0.48499,                0.78163,                0.55519,                 1.7712,               0.004852,               0.004852,               0.004852
                     54,                0.88151,                0.63409,                 1.8547,                0.65645,                0.62461,                0.63245,                0.48546,                0.78127,                0.55455,                   1.77,               0.004753,               0.004753,               0.004753
                     55,                0.87947,                 0.6297,                 1.8502,                0.66026,                0.62402,                0.63329,                0.48623,                0.78092,                0.55395,                 1.7691,               0.004654,               0.004654,               0.004654
                     56,                0.87791,                0.62788,                 1.8485,                 0.6606,                0.62487,                0.63483,                0.48672,                0.78088,                0.55372,                 1.7678,               0.004555,               0.004555,               0.004555
                     57,                0.87728,                 0.6291,                 1.8379,                0.66191,                0.62702,                0.63641,                0.48804,                0.78081,                0.55347,                 1.7667,               0.004456,               0.004456,               0.004456
                     58,                0.87486,                0.62345,                 1.8484,                0.66607,                0.62485,                0.63599,                0.48763,                0.78065,                0.55322,                 1.7655,               0.004357,               0.004357,               0.004357
                     59,                0.87062,                0.62197,                  1.836,                0.66468,                0.62602,                0.63625,                0.48817,                0.78054,                0.55286,                 1.7645,               0.004258,               0.004258,               0.004258
                     60,                0.87152,                0.62087,                 1.8369,                0.66658,                0.62512,                0.63652,                0.48879,                0.78034,                0.55269,                 1.7636,               0.004159,               0.004159,               0.004159
                     61,                0.87068,                0.61918,                 1.8366,                0.67015,                0.62298,                0.63747,                0.48969,                 0.7799,                0.55267,                 1.7629,                0.00406,                0.00406,                0.00406
                     62,                0.86474,                0.61171,                  1.826,                0.67183,                0.62542,                0.63861,                0.49021,                0.77981,                 0.5526,                 1.7622,               0.003961,               0.003961,               0.003961
                     63,                 0.8702,                0.61801,                 1.8268,                0.67111,                0.62697,                0.63875,                0.49052,                0.77968,                 0.5525,                 1.7617,               0.003862,               0.003862,               0.003862
                     64,                0.86775,                0.61557,                 1.8267,                0.67241,                0.62708,                0.63958,                0.49116,                0.77954,                0.55259,                 1.7612,               0.003763,               0.003763,               0.003763
                     65,                0.86417,                 0.6148,                 1.8272,                0.67587,                 0.6248,                0.64032,                0.49156,                0.77926,                0.55272,                 1.7609,               0.003664,               0.003664,               0.003664
                     66,                0.86217,                0.60927,                 1.8213,                0.67588,                 0.6256,                0.64081,                0.49182,                 0.7793,                0.55299,                 1.7604,               0.003565,               0.003565,               0.003565
                     67,                0.86035,                0.60911,                 1.8176,                0.67762,                0.62558,                0.64232,                0.49305,                0.77934,                0.55342,                   1.76,               0.003466,               0.003466,               0.003466
                     68,                0.85863,                 0.6074,                 1.8161,                0.67818,                0.62474,                0.64181,                0.49284,                0.77943,                0.55384,                 1.7592,               0.003367,               0.003367,               0.003367
                     69,                0.85539,                 0.6034,                 1.8152,                0.67878,                0.62606,                0.64243,                0.49326,                0.77966,                0.55419,                 1.7585,               0.003268,               0.003268,               0.003268
                     70,                0.85685,                0.60533,                 1.8067,                0.68021,                0.62725,                0.64398,                0.49433,                0.77987,                0.55464,                 1.7578,               0.003169,               0.003169,               0.003169
                     71,                0.85328,                 0.6009,                  1.808,                0.67666,                0.62984,                0.64412,                0.49501,                0.78001,                0.55505,                 1.7573,                0.00307,                0.00307,                0.00307
                     72,                0.85275,                0.60239,                 1.8044,                0.67584,                0.63219,                0.64499,                 0.4956,                0.78032,                0.55564,                 1.7567,               0.002971,               0.002971,               0.002971
                     73,                0.85054,                0.59824,                 1.8018,                0.67876,                0.63241,                0.64573,                0.49643,                0.78064,                0.55633,                 1.7562,               0.002872,               0.002872,               0.002872
                     74,                0.84976,                0.59491,                 1.7967,                 0.6782,                0.63428,                0.64593,                0.49666,                0.78092,                0.55688,                 1.7555,               0.002773,               0.002773,               0.002773
                     75,                0.84619,                0.59586,                 1.7987,                0.68193,                0.63342,                0.64681,                0.49731,                0.78121,                0.55786,                 1.7549,               0.002674,               0.002674,               0.002674
                     76,                0.84327,                0.59096,                 1.7971,                0.68684,                0.63175,                0.64728,                0.49791,                0.78151,                0.55858,                 1.7543,               0.002575,               0.002575,               0.002575
                     77,                0.84867,                0.59498,                 1.7908,                0.68778,                0.63196,                0.64778,                0.49828,                0.78183,                0.55943,                 1.7537,               0.002476,               0.002476,               0.002476
                     78,                0.84472,                0.58905,                  1.788,                0.68915,                0.63106,                0.64833,                0.49883,                0.78211,                0.56038,                 1.7531,               0.002377,               0.002377,               0.002377
                     79,                 0.8438,                0.58839,                 1.7926,                0.68604,                0.63241,                0.64758,                0.49843,                0.78242,                0.56107,                 1.7526,               0.002278,               0.002278,               0.002278
                     80,                 0.8431,                0.58932,                 1.7916,                0.68837,                0.63145,                0.64825,                0.49907,                0.78277,                0.56188,                  1.752,               0.002179,               0.002179,               0.002179
                     81,                0.84261,                0.58513,                 1.7931,                0.68862,                0.63314,                0.65021,                0.50047,                  0.783,                0.56267,                 1.7515,                0.00208,                0.00208,                0.00208
                     82,                0.83766,                0.58259,                 1.7846,                0.68792,                0.63289,                0.65047,                0.50112,                0.78331,                0.56327,                 1.7511,               0.001981,               0.001981,               0.001981
                     83,                0.83881,                0.58425,                 1.7822,                0.68769,                0.63331,                0.65059,                0.50138,                 0.7835,                0.56409,                 1.7506,               0.001882,               0.001882,               0.001882
                     84,                0.83749,                0.58156,                 1.7723,                0.68479,                0.63526,                0.65181,                0.50176,                0.78377,                 0.5647,                 1.7501,               0.001783,               0.001783,               0.001783
