metric,value
metrics/precision(B),0.6782824450817395
metrics/recall(B),0.6219925291489823
metrics/mAP50(B),0.6618980213581386
metrics/mAP50-95(B),0.5032884323924097
fitness,0.5191493912889826

class,precision,recall,ap50,ap
car,0.9327291785982861,0.8473657836944982,0.9125283981290921,0.7116012590968319
truck,0.5431949123380314,0.6397124002757806,0.5865747216523678,0.4165613302964066
bus,0.8764282308865257,0.8102531376302914,0.8773782825253714,0.687668422067133
van,0.5001683764428219,0.36224709427464485,0.43268263107767385,0.3356331788312116
freight_car,0.5388915271430323,0.45038422986969595,0.5003260734061876,0.3649779716704651
