                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98868,                0.64753,                 1.6619,                0.75827,                 0.6976,                 0.7453,                0.58479,                 0.8214,                0.50726,                 1.6881,              0.0078963,              0.0078963,              0.0078963
                     36,                0.98425,                0.64141,                 1.6629,                0.76165,                0.69299,                0.74584,                0.58612,                0.82202,                0.50617,                 1.6838,              0.0078344,              0.0078344,              0.0078344
                     37,                0.97823,                0.63998,                 1.6597,                0.76207,                0.69222,                0.74447,                0.58519,                0.82114,                0.50591,                 1.6838,              0.0077725,              0.0077725,              0.0077725
                     38,                 0.9742,                0.63835,                  1.655,                0.76434,                0.69047,                0.74492,                0.58476,                0.81933,                0.50387,                  1.681,              0.0077106,              0.0077106,              0.0077106
                     39,                 0.9753,                0.63648,                 1.6514,                0.76118,                0.69536,                0.74564,                0.58666,                0.81536,                0.50216,                 1.6724,              0.0076488,              0.0076488,              0.0076488
                     40,                 0.9691,                 0.6318,                 1.6471,                0.76592,                0.69415,                0.74769,                0.59006,                0.81164,                0.50079,                 1.6655,              0.0075869,              0.0075869,              0.0075869
                     41,                0.96764,                0.62975,                 1.6501,                0.76278,                0.69572,                0.74722,                 0.5903,                0.81039,                0.49986,                 1.6633,               0.007525,               0.007525,               0.007525
                     42,                0.96274,                0.62932,                 1.6455,                 0.7671,                0.69421,                0.74835,                0.59245,                0.80681,                0.49888,                 1.6591,              0.0074631,              0.0074631,              0.0074631
                     43,                0.96145,                0.62404,                 1.6381,                0.76763,                0.69593,                0.74905,                0.59279,                0.80753,                0.49744,                 1.6582,              0.0074013,              0.0074013,              0.0074013
                     44,                0.95762,                0.62339,                  1.633,                0.76743,                0.69693,                0.74899,                0.59268,                0.80753,                 0.4972,                 1.6569,              0.0073394,              0.0073394,              0.0073394
                     45,                 0.9571,                0.62196,                 1.6331,                0.76912,                0.69811,                0.75072,                0.59478,                0.80557,                0.49571,                 1.6532,              0.0072775,              0.0072775,              0.0072775
                     46,                0.95668,                0.62153,                 1.6313,                 0.7692,                0.69855,                0.75047,                0.59498,                0.80521,                0.49439,                 1.6513,              0.0072156,              0.0072156,              0.0072156
                     47,                0.95249,                 0.6186,                 1.6232,                0.77092,                0.69923,                0.75172,                0.59621,                0.80409,                 0.4934,                 1.6473,              0.0071538,              0.0071538,              0.0071538
                     48,                0.95141,                0.61855,                 1.6224,                0.77024,                0.70048,                0.75178,                0.59598,                0.80443,                0.49267,                 1.6466,              0.0070919,              0.0070919,              0.0070919
                     49,                0.94814,                0.61455,                 1.6251,                0.77166,                0.69938,                0.75192,                0.59653,                0.80368,                0.49184,                  1.645,                0.00703,                0.00703,                0.00703
                     50,                0.94704,                0.61287,                 1.6206,                0.77188,                 0.6971,                0.75113,                0.59656,                0.80237,                0.49137,                 1.6423,              0.0069681,              0.0069681,              0.0069681
                     51,                0.94451,                0.61085,                 1.6147,                0.77413,                 0.6967,                0.75201,                0.59756,                0.80143,                0.49047,                 1.6402,              0.0069063,              0.0069063,              0.0069063
                     52,                0.94137,                0.61058,                 1.6154,                0.77339,                 0.6976,                0.75271,                0.59853,                 0.8006,                0.48961,                 1.6381,              0.0068444,              0.0068444,              0.0068444
                     53,                0.93988,                0.60535,                 1.6123,                0.77437,                0.69605,                 0.7527,                0.59875,                0.80019,                0.48921,                  1.636,              0.0067825,              0.0067825,              0.0067825
                     54,                0.93565,                0.60618,                 1.6039,                0.77273,                0.69822,                0.75258,                0.59881,                0.79925,                0.48869,                 1.6344,              0.0067206,              0.0067206,              0.0067206
                     55,                0.93607,                0.60618,                  1.607,                0.77285,                0.69913,                0.75306,                0.59933,                0.79867,                0.48814,                 1.6329,              0.0066587,              0.0066587,              0.0066587
                     56,                 0.9325,                 0.6028,                 1.6011,                0.77263,                0.69903,                0.75331,                0.59978,                0.79788,                0.48742,                 1.6306,              0.0065969,              0.0065969,              0.0065969
                     57,                0.93435,                0.60356,                 1.6045,                0.77273,                0.69992,                 0.7538,                 0.6004,                0.79712,                0.48708,                 1.6282,               0.006535,               0.006535,               0.006535
                     58,                0.93052,                0.59871,                 1.6028,                0.77456,                0.69978,                0.75439,                0.60091,                0.79686,                0.48677,                  1.627,              0.0064731,              0.0064731,              0.0064731
                     59,                0.93343,                0.60242,                 1.5993,                0.77467,                 0.7006,                0.75434,                0.60097,                0.79651,                0.48632,                 1.6253,              0.0064112,              0.0064112,              0.0064112
                     60,                0.92791,                0.59858,                 1.5967,                0.77627,                0.70132,                 0.7554,                0.60171,                0.79668,                0.48631,                 1.6241,              0.0063494,              0.0063494,              0.0063494
                     61,                0.92785,                0.59746,                 1.5929,                0.77781,                0.70005,                0.75539,                0.60161,                0.79717,                0.48678,                 1.6236,              0.0062875,              0.0062875,              0.0062875
                     62,                0.92374,                0.59522,                 1.5985,                0.77811,                 0.7006,                0.75563,                0.60181,                0.79739,                0.48716,                 1.6225,              0.0062256,              0.0062256,              0.0062256
