metric,value
metrics/precision(B),0.7475766787066224
metrics/recall(B),0.6779382094915105
metrics/mAP50(B),0.7301790808715668
metrics/mAP50-95(B),0.5891561497437333
fitness,0.6032584428565166

class,precision,recall,ap50,ap
car,0.9339137177907835,0.8746068870741828,0.9280976142230937,0.7686827295416528
truck,0.70280411935801,0.6467054072687876,0.6953287502762617,0.5397728937815336
bus,0.8852854646195337,0.8785364815996597,0.9201635587020314,0.7564908494789842
van,0.5964662005206335,0.47869134739560915,0.5409299735681078,0.4385819937207557
freight_car,0.6194138912441516,0.5111509241193132,0.5663755075883395,0.4422522821957407
