metric,value
metrics/precision(B),0.7852558051848637
metrics/recall(B),0.7035335176532297
metrics/mAP50(B),0.7616987932698425
metrics/mAP50-95(B),0.6153634478935951
fitness,0.6299969824312198

class,precision,recall,ap50,ap
car,0.9511953820550773,0.870860437729528,0.9306531354943364,0.7720398254008819
truck,0.7749226467989362,0.6532059489805969,0.7366544130298013,0.5755436026988654
bus,0.9157110182921873,0.8793873643905552,0.9240947733787273,0.7541980435936996
van,0.651726237495719,0.5430477830391734,0.6170244738214818,0.5004948839227351
freight_car,0.6327237412823985,0.5711660541262947,0.6000671706248658,0.4745408838517936
