metric,value
metrics/precision(B),0.6624666075921335
metrics/recall(B),0.5749964833207115
metrics/mAP50(B),0.6242293865647817
metrics/mAP50-95(B),0.49958865618583354
fitness,0.5120527292237284

class,precision,recall,ap50,ap
car,0.9205951884299819,0.8660217290346213,0.9195084783292987,0.7647855091187744
truck,0.5869047619047619,0.4804599941526167,0.5233940371341099,0.39462065160616105
bus,0.8285087719298245,0.7833298776695004,0.849972984221058,0.689674067233952
van,0.4747159090909091,0.3588146875671033,0.397770717079829,0.3251627837922567
freight_car,0.5016084066051898,0.3863561281797159,0.43050071605961276,0.3237002691780235
