metric,value
metrics/precision(B),0.7475743518406478
metrics/recall(B),0.6779322235620316
metrics/mAP50(B),0.7161699216386236
metrics/mAP50-95(B),0.5653012212915492
fitness,0.5803880913262567

class,precision,recall,ap50,ap
car,0.9339137177907835,0.8746068870741828,0.924998162325182,0.7599458017021649
truck,0.7025900456085864,0.6465084211563085,0.6819391463349335,0.5124734998754227
bus,0.8852854646195337,0.8785364815996597,0.9111563604700037,0.7371847677959866
van,0.5964662005206335,0.47869134739560915,0.5222448396935908,0.40990613045026214
freight_car,0.6196163306637026,0.5113179805843984,0.5405110993694077,0.4069959066339104
