metric,value
metrics/precision(B),0.746998593647364
metrics/recall(B),0.677297412806072
metrics/mAP50(B),0.729734306625008
metrics/mAP50-95(B),0.588636817195978
fitness,0.6027465661388811

class,precision,recall,ap50,ap
car,0.9336511832883578,0.8748658244868545,0.9282697625420945,0.7687003224371225
truck,0.6998946291626927,0.6463810286653557,0.6941199064996448,0.5384902838569108
bus,0.8871738579919665,0.8785364815996597,0.9201189825277079,0.7564342285559229
van,0.5984160829787137,0.47567800258286697,0.5408745985068053,0.4385552532924355
freight_car,0.6158572148150888,0.5110257266956231,0.5652882830487878,0.441003997837499
