metric,value
metrics/precision(B),0.7592538563785427
metrics/recall(B),0.6800228556331721
metrics/mAP50(B),0.7401876041556201
metrics/mAP50-95(B),0.5583976623936802
fitness,0.5765766565698741

class,precision,recall,ap50,ap
car,0.9325339914478922,0.863915266605314,0.9227014327547666,0.709213625764997
truck,0.6858932069915169,0.6628532980193595,0.6996714594699213,0.5047339447334244
bus,0.9010447544739918,0.854924484152308,0.9089388522983982,0.7021203829726637
van,0.6129916201382251,0.4987085665088248,0.5732033420277373,0.43592328949146364
freight_car,0.6638057088410874,0.5197126628800535,0.5964229342272779,0.439997069005852
