metric,value
metrics/precision(B),0.6612357974468918
metrics/recall(B),0.6461832042188969
metrics/mAP50(B),0.6646863115599123
metrics/mAP50-95(B),0.5363100951652306
fitness,0.5491477168046989

class,precision,recall,ap50,ap
car,0.9106048703849176,0.8719609112851003,0.9214177287060563,0.7650976881903124
truck,0.6033986175115207,0.6125134002533866,0.616134637608866,0.47463085632882657
bus,0.8294884653961886,0.8573501969728384,0.8965198715457703,0.7342428535544722
van,0.4850221411825996,0.39982821558943527,0.43253414479549934,0.3536955079319698
freight_car,0.4776648927592324,0.4892632969937232,0.4568251751433695,0.35388356982057245
