metric,value
metrics/precision(B),0.7344827524878272
metrics/recall(B),0.6733985977140342
metrics/mAP50(B),0.7177384767352593
metrics/mAP50-95(B),0.5761304750088339
fitness,0.5902912751814764

class,precision,recall,ap50,ap
car,0.9345393836323138,0.8724882943154593,0.9266813492563188,0.7672089359317783
truck,0.6964747965160845,0.6377834878131744,0.6876086704565527,0.5247003768591861
bus,0.8828598869801811,0.8689507911039821,0.9134543458643953,0.7500999797174634
van,0.5730408607076395,0.4622107761795194,0.511145482775122,0.4112866374385093
freight_car,0.585498834602917,0.5255596391580354,0.549802535323907,0.42735644509723203
