                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.91131,                0.66344,                  1.799,                0.65329,                0.62701,                0.63201,                0.48604,                0.79007,                0.56019,                 1.6901,               0.007624,               0.007624,               0.007624
                     38,                0.91144,                0.66064,                 1.7953,                0.64956,                0.62929,                0.63105,                0.48516,                0.78908,                0.55952,                 1.6883,               0.007558,               0.007558,               0.007558
                     39,                0.91112,                0.65857,                 1.7952,                0.65153,                0.62833,                0.63394,                0.48783,                0.78988,                0.55814,                 1.6871,               0.007492,               0.007492,               0.007492
                     40,                0.90747,                 0.6548,                  1.791,                0.64383,                0.63458,                0.63504,                0.48915,                0.78833,                0.55551,                 1.6872,               0.007426,               0.007426,               0.007426
                     41,                0.90492,                0.65294,                  1.793,                0.65014,                0.63456,                0.63824,                0.49129,                0.78709,                0.55465,                 1.6868,                0.00736,                0.00736,                0.00736
                     42,                0.90573,                0.65351,                 1.7928,                0.65372,                0.63575,                0.63827,                0.49238,                0.78626,                0.55376,                 1.6849,               0.007294,               0.007294,               0.007294
                     43,                0.90322,                 0.6477,                 1.7823,                0.65374,                0.63675,                0.64179,                0.49528,                0.78628,                0.55204,                  1.684,               0.007228,               0.007228,               0.007228
                     44,                0.90387,                0.64959,                 1.7869,                0.65373,                0.63653,                0.64106,                0.49537,                0.78602,                0.55142,                 1.6831,               0.007162,               0.007162,               0.007162
                     45,                0.89674,                0.64359,                 1.7825,                0.65453,                0.63877,                0.64292,                0.49698,                0.78514,                0.54996,                 1.6824,               0.007096,               0.007096,               0.007096
                     46,                0.89696,                0.64566,                 1.7849,                0.65647,                0.64116,                0.64314,                0.49638,                0.78458,                0.54886,                 1.6822,                0.00703,                0.00703,                0.00703
                     47,                0.89286,                0.64021,                 1.7869,                0.66089,                 0.6356,                0.64197,                0.49622,                0.78352,                0.54798,                 1.6818,               0.006964,               0.006964,               0.006964
                     48,                0.89177,                0.63822,                 1.7815,                0.65632,                0.63661,                0.64288,                0.49651,                0.78295,                0.54687,                  1.681,               0.006898,               0.006898,               0.006898
                     49,                0.89057,                 0.6367,                 1.7713,                0.66118,                0.63353,                0.64295,                0.49661,                0.78185,                0.54624,                 1.6802,               0.006832,               0.006832,               0.006832
                     50,                0.88912,                0.63468,                 1.7783,                0.65393,                0.63954,                0.64341,                0.49723,                0.78135,                0.54585,                 1.6792,               0.006766,               0.006766,               0.006766
                     51,                0.88979,                0.63696,                 1.7727,                0.65885,                0.63716,                 0.6446,                0.49797,                0.78087,                0.54543,                 1.6786,                 0.0067,                 0.0067,                 0.0067
                     52,                0.88533,                0.63341,                 1.7715,                  0.656,                0.64137,                0.64523,                0.49873,                0.77992,                 0.5449,                 1.6781,               0.006634,               0.006634,               0.006634
                     53,                0.88112,                0.62767,                 1.7697,                0.65754,                0.64097,                0.64483,                0.49821,                0.77945,                0.54435,                 1.6781,               0.006568,               0.006568,               0.006568
                     54,                0.88236,                0.63206,                 1.7718,                0.65786,                0.64258,                0.64589,                0.49929,                0.77933,                0.54406,                 1.6779,               0.006502,               0.006502,               0.006502
                     55,                0.88288,                0.63058,                 1.7678,                0.65882,                0.64337,                 0.6463,                 0.4994,                0.77891,                0.54377,                 1.6776,               0.006436,               0.006436,               0.006436
                     56,                0.88368,                0.62976,                 1.7686,                0.65748,                0.64457,                0.64637,                0.49972,                0.77875,                0.54348,                 1.6771,                0.00637,                0.00637,                0.00637
                     57,                0.88058,                0.62666,                 1.7662,                0.65718,                0.64494,                 0.6469,                0.50041,                0.77855,                0.54299,                 1.6771,               0.006304,               0.006304,               0.006304
                     58,                0.87256,                0.61982,                 1.7614,                0.66023,                0.64169,                0.64675,                0.49999,                 0.7784,                0.54287,                 1.6769,               0.006238,               0.006238,               0.006238
                     59,                0.87651,                 0.6262,                 1.7652,                 0.6563,                0.64648,                0.64734,                0.50058,                0.77843,                 0.5426,                 1.6768,               0.006172,               0.006172,               0.006172
                     60,                0.87734,                0.62543,                  1.765,                0.65596,                 0.6469,                0.64767,                0.50095,                0.77818,                0.54253,                 1.6768,               0.006106,               0.006106,               0.006106
                     61,                0.87919,                0.62542,                 1.7678,                0.65637,                0.64686,                0.64717,                0.50085,                0.77817,                0.54224,                 1.6768,                0.00604,                0.00604,                0.00604
                     62,                0.87682,                0.62316,                 1.7639,                0.65612,                0.64808,                0.64786,                0.50103,                0.77806,                0.54188,                 1.6768,               0.005974,               0.005974,               0.005974
                     63,                0.87485,                0.62361,                 1.7664,                0.65714,                0.64704,                0.64795,                0.50145,                0.77762,                 0.5416,                 1.6768,               0.005908,               0.005908,               0.005908
                     64,                0.87772,                 0.6245,                 1.7689,                0.65543,                0.64787,                0.64824,                0.50131,                0.77743,                0.54135,                 1.6765,               0.005842,               0.005842,               0.005842
                     65,                0.86448,                0.61149,                 1.7544,                0.65799,                0.64724,                0.64836,                0.50144,                0.77743,                0.54125,                 1.6764,               0.005776,               0.005776,               0.005776
                     66,                0.86962,                0.61859,                 1.7594,                0.65925,                0.64843,                0.64853,                0.50147,                 0.7775,                0.54112,                 1.6763,                0.00571,                0.00571,                0.00571
                     67,                0.87062,                  0.619,                 1.7597,                0.66082,                0.64625,                0.64863,                0.50191,                0.77745,                0.54103,                 1.6763,               0.005644,               0.005644,               0.005644
                     68,                0.87301,                0.62023,                 1.7624,                0.66353,                0.64511,                 0.6486,                0.50187,                0.77734,                 0.5409,                 1.6762,               0.005578,               0.005578,               0.005578
                     69,                  0.872,                0.61882,                 1.7601,                 0.6603,                0.64829,                0.64869,                0.50194,                0.77727,                0.54063,                 1.6761,               0.005512,               0.005512,               0.005512
                     70,                0.87009,                0.61908,                 1.7635,                0.66013,                0.64829,                 0.6492,                0.50234,                0.77711,                 0.5404,                  1.676,               0.005446,               0.005446,               0.005446
                     71,                0.87224,                 0.6195,                 1.7653,                0.66232,                0.64904,                0.64961,                0.50265,                0.77704,                0.54016,                 1.6759,                0.00538,                0.00538,                0.00538
                     72,                0.86984,                0.61552,                 1.7545,                0.66048,                0.64947,                0.65004,                  0.503,                0.77698,                0.53991,                 1.6757,               0.005314,               0.005314,               0.005314
                     73,                0.87166,                0.61725,                 1.7597,                0.66313,                0.64784,                0.64996,                0.50309,                0.77682,                0.53964,                 1.6756,               0.005248,               0.005248,               0.005248
                     74,                0.86502,                0.61181,                 1.7555,                0.66388,                0.64847,                0.65046,                0.50363,                0.77674,                0.53945,                 1.6755,               0.005182,               0.005182,               0.005182
                     75,                0.86641,                0.61409,                 1.7599,                0.66408,                0.65026,                0.65085,                0.50379,                0.77668,                 0.5392,                 1.6753,               0.005116,               0.005116,               0.005116
                     76,                0.86299,                0.61013,                 1.7608,                0.66457,                0.64913,                0.65112,                0.50393,                0.77652,                  0.539,                 1.6752,                0.00505,                0.00505,                0.00505
                     77,                0.86297,                0.60907,                 1.7565,                0.66484,                0.64949,                0.65116,                0.50397,                 0.7763,                0.53873,                  1.675,               0.004984,               0.004984,               0.004984
                     78,                 0.8618,                0.60879,                 1.7494,                0.66398,                0.65008,                 0.6518,                0.50412,                0.77612,                0.53852,                 1.6748,               0.004918,               0.004918,               0.004918
