metric,value
metrics/precision(B),0.6606035813430583
metrics/recall(B),0.6329819835490231
metrics/mAP50(B),0.6632452909084235
metrics/mAP50-95(B),0.5329247528035898
fitness,0.5459568066140732

class,precision,recall,ap50,ap
car,0.9075792970702846,0.8674624920406094,0.9193381230503066,0.7609458053441951
truck,0.5919312237674507,0.6043270636390216,0.614363580929704,0.4675570275805237
bus,0.8048100399758978,0.8490566037735849,0.8902002767656386,0.7274116841300594
van,0.4768221179397928,0.38007300837449004,0.4174842288704146,0.3393540724111495
freight_car,0.5218752279618656,0.46399074991740996,0.4748402449260539,0.36935517455202105
