                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.9882,                0.64315,                 1.7194,                0.75594,                0.68895,                0.74053,                0.57679,                0.82416,                0.50288,                 1.7834,              0.0078963,              0.0078963,              0.0078963
                     36,                0.98108,                0.63713,                  1.717,                 0.7638,                0.68742,                 0.7438,                0.58183,                0.82205,                0.49995,                 1.7762,              0.0078344,              0.0078344,              0.0078344
                     37,                0.97468,                0.63663,                 1.7039,                0.75955,                0.68907,                0.74294,                0.58223,                0.82126,                0.50104,                 1.7642,              0.0077725,              0.0077725,              0.0077725
                     38,                0.96793,                0.63462,                 1.6973,                0.76085,                0.69132,                0.74389,                0.58313,                0.81775,                 0.5001,                 1.7522,              0.0077106,              0.0077106,              0.0077106
                     39,                0.96708,                  0.634,                 1.6908,                0.75568,                0.69386,                0.74277,                 0.5836,                0.81492,                0.49984,                 1.7442,              0.0076488,              0.0076488,              0.0076488
                     40,                 0.9601,                 0.6291,                 1.6856,                0.75892,                0.69314,                0.74448,                 0.5866,                0.81111,                0.49815,                 1.7391,              0.0075869,              0.0075869,              0.0075869
                     41,                0.95833,                0.62833,                 1.6843,                0.75724,                0.69636,                 0.7467,                0.58822,                0.80984,                0.49691,                 1.7344,               0.007525,               0.007525,               0.007525
                     42,                0.95158,                0.62648,                 1.6778,                0.76246,                0.69283,                0.74796,                0.59052,                0.80693,                0.49552,                 1.7273,              0.0074631,              0.0074631,              0.0074631
                     43,                0.94948,                0.62209,                  1.668,                0.75919,                0.69747,                0.74773,                0.59076,                0.80612,                0.49588,                  1.723,              0.0074013,              0.0074013,              0.0074013
                     44,                0.94615,                0.62226,                 1.6627,                0.76331,                0.69558,                0.74908,                0.59152,                0.80549,                0.49571,                 1.7195,              0.0073394,              0.0073394,              0.0073394
                     45,                0.94674,                0.62181,                 1.6609,                0.76456,                0.69571,                0.74935,                0.59279,                  0.803,                0.49498,                 1.7124,              0.0072775,              0.0072775,              0.0072775
                     46,                  0.944,                0.61947,                 1.6576,                0.76686,                0.69433,                0.74987,                0.59421,                0.80108,                0.49387,                 1.7072,              0.0072156,              0.0072156,              0.0072156
